FECHA	IP	PETICION	RESPUESTA
2021-04-08	127.0.1.1		Se inicio el servidor
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,insecticida,saltamontes,polinizador,plaga,pesticida,polilla,picadura,gorgojo,chinche,imago,saurio,aletear,roncha,cigarra,celdilla,picudo,coxa,abejorro,gusano
2021-04-08	127.0.0.1	when you walk fast	,slow,fleet,stair,breezeway,brief,stand,impatient,swim,instinct,thrift,drive,instant,leave,energetic,bolt,nature,dart,rabbit,hitchhike,path
2021-04-08	127.0.0.1	cuando matas a alguien	,altura,pie,desarrollar,matorral,enraizar,paleta,banderilla
2021-04-08	127.0.0.1	when you kill someone	,blame,hate,demolish,military,hung,beat,gun,instinct,slay,rabbit,hunt,smash,another,suicide,deadly,die,knife,assault,smother,prey
2021-04-08	127.0.1.1		Se apago el servidor
2021-04-08	127.0.1.1		Se inicio el servidor
2021-04-08	127.0.0.1	when you walk fast	,slow,busy,roam,movement,pedal,wander,exercise,race,famine,march,hurry,forward,hyper,cake,campus,hiking,spree,drink,upstairs,diligence
2021-04-08	127.0.0.1	cuando matas a alguien	,altura,pie,desarrollar,matorral,enraizar,paleta,banderilla
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	when you walk fast	,slow,busy,roam,movement,pedal,wander,exercise,race,famine,march,hurry,forward,hyper,cake,campus,hiking,spree,drink,upstairs,diligence
2021-04-08	127.0.0.1	when you walk fast	,slow,busy,roam,movement,pedal,wander,exercise,race,famine,march,hurry,forward,hyper,cake,campus,hiking,spree,drink,upstairs,diligence
2021-04-08	127.0.0.1	when you walk fast	,slow,busy,roam,movement,pedal,wander,exercise,race,famine,march,hurry,forward,hyper,cake,campus,hiking,spree,drink,upstairs,diligence
2021-04-08	127.0.0.1	when you kill someone	,hate,blame,smother,mistreat,poach,beat,dead,hatchet,cancer,defend,shot,shark,crush,suicide,person,military,fight,elimination,torture,rabbit
2021-04-08	127.0.0.1	when you kill someone	,hate,blame,smother,mistreat,poach,beat,dead,hatchet,cancer,defend,shot,shark,crush,suicide,person,military,fight,elimination,torture,rabbit
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	cuando matas a alguien	,altura,pie,desarrollar,matorral,enraizar,paleta,banderilla
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	when you walk fast	,slow,busy,roam,movement,pedal,wander,exercise,race,famine,march,hurry,forward,hyper,cake,campus,hiking,spree,drink,upstairs,diligence
2021-04-08	127.0.0.1	when you kill someone	,hate,blame,smother,mistreat,poach,beat,dead,hatchet,cancer,defend,shot,shark,crush,suicide,person,military,fight,elimination,torture,rabbit
2021-04-08	127.0.0.1	when you kill someone	,hate,blame,smother,mistreat,poach,beat,dead,hatchet,cancer,defend,shot,shark,crush,suicide,person,military,fight,elimination,torture,rabbit
2021-04-08	127.0.0.1	when you walk fast	,slow,busy,roam,movement,pedal,wander,exercise,race,famine,march,hurry,forward,hyper,cake,campus,hiking,spree,drink,upstairs,diligence
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	cuando matas a alguien	,altura,pie,desarrollar,matorral,enraizar,paleta,banderilla
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	cuando matas a alguien	,altura,pie,desarrollar,matorral,enraizar,paleta,banderilla
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	cuando matas a alguien	,altura,pie,desarrollar,matorral,enraizar,paleta,banderilla
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	cuando matas a alguien	,altura,pie,desarrollar,matorral,enraizar,paleta,banderilla
2021-04-08	127.0.0.1	cuando matas a alguien	,altura,pie,desarrollar,matorral,enraizar,paleta,banderilla
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	cuando matas a alguien	,altura,pie,desarrollar,matorral,enraizar,paleta,banderilla
2021-04-08	127.0.0.1	cuando matas a alguien	,altura,pie,desarrollar,matorral,enraizar,paleta,banderilla
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	cuando matas a alguien	,altura,pie,desarrollar,matorral,enraizar,paleta,banderilla
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	cuando matas a alguien	,altura,pie,desarrollar,matorral,enraizar,paleta,banderilla
2021-04-08	127.0.0.1	cuando matas a alguien	,altura,pie,desarrollar,matorral,enraizar,paleta,banderilla
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
2021-04-08	127.0.0.1	insecto rayado que produce miel	,larva,fabricar,material,efecto,resultado,invertir,industria,materia,trabajo,vivir,maquinaria,esfuerzo,beneficio,tierra,dinero,explotación,suelo,cría,ganancia
